Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Dec-09,Great Southern District,1,0,0,0,1,6,4,2,10,10,0,22,5,17,55,16,28,11,4,2,2,7,4,3,0,0,0,1,0,1,106,74,56,18,14,127,0,0,0,0,2,125,88,13,75,10,1,9,0,313,419,83,7,34,28,13,1,7,2,5,10,100,9,10,0,0,10,11,3,3,5,30
Jan-10,Great Southern District,0,0,0,0,0,4,3,1,4,4,0,23,9,14,35,5,25,5,2,1,1,9,4,5,0,0,0,3,0,3,80,59,35,24,4,115,0,0,0,0,1,114,104,17,87,9,5,4,0,291,371,63,4,26,20,13,0,2,2,0,6,71,11,20,0,0,20,12,5,7,0,43
Feb-10,Great Southern District,0,0,0,0,0,36,28,8,1,1,0,23,8,15,31,8,20,3,5,3,2,8,6,2,4,0,4,2,1,1,110,65,47,18,1,120,0,0,0,0,0,120,97,9,88,6,2,4,0,289,399,88,6,36,23,23,0,8,6,2,14,110,0,24,0,0,24,10,5,3,2,34
Mar-10,Great Southern District,1,0,0,0,1,6,5,1,22,10,12,23,3,20,32,4,25,3,4,2,2,10,7,3,0,0,0,0,0,0,98,77,46,31,14,148,0,0,0,0,3,145,128,15,113,4,0,4,0,371,469,104,3,40,30,31,0,2,2,0,8,114,17,5,0,0,5,18,7,5,6,40
Apr-10,Great Southern District,0,0,0,0,0,7,6,1,1,1,0,19,4,15,32,6,24,2,1,1,0,10,3,7,3,0,3,4,0,4,77,58,36,22,15,165,0,0,0,0,1,164,113,12,101,3,0,3,0,354,431,75,5,43,21,6,0,1,0,1,1,77,4,38,0,0,38,11,4,5,2,53
May-10,Great Southern District,1,0,0,0,1,3,3,0,2,2,0,17,4,13,34,8,21,5,2,2,0,9,4,5,0,0,0,0,0,0,68,93,66,27,10,152,0,0,0,0,0,152,114,15,99,0,0,0,0,369,437,89,4,43,37,5,0,2,1,1,7,98,8,23,0,0,23,15,3,10,2,46
Jun-10,Great Southern District,2,0,0,0,2,5,5,0,3,3,0,14,5,9,28,6,20,2,0,0,0,6,2,4,1,0,1,3,0,3,62,86,60,26,10,143,0,0,0,0,1,142,138,16,122,5,0,5,0,382,444,105,10,45,41,8,1,8,5,3,19,132,5,16,0,0,16,19,17,1,1,40
Jul-10,Great Southern District,2,0,0,0,2,3,3,0,10,10,0,11,6,5,38,8,29,1,0,0,0,14,10,4,1,0,1,2,0,2,81,53,35,18,8,130,0,0,0,0,3,127,116,24,92,6,0,6,0,313,394,68,5,36,21,6,0,3,2,1,11,82,6,3,0,0,3,11,4,4,3,20
Aug-10,Great Southern District,0,0,0,0,0,7,5,2,13,4,9,16,8,8,25,8,16,1,4,3,1,10,6,4,1,0,1,2,0,2,78,49,29,20,9,118,0,0,0,0,4,114,81,8,73,17,15,2,0,274,352,82,8,35,29,8,2,8,3,5,9,99,11,4,0,0,4,10,2,7,1,25
Sep-10,Great Southern District,0,0,0,0,0,3,3,0,14,14,0,18,9,9,34,12,16,6,4,3,1,9,3,6,1,0,1,1,0,1,84,41,25,16,6,89,0,0,0,0,2,87,86,19,67,2,0,2,0,224,308,98,7,46,33,7,5,2,1,1,7,107,4,3,0,0,3,11,6,2,3,18
