Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jul-10,Cannington District,0,0,0,0,0,22,6,16,2,1,1,48,8,40,80,39,37,4,6,6,0,20,11,9,0,0,0,8,1,7,186,282,223,59,56,519,0,0,0,0,4,515,225,27,198,6,0,6,0,1088,1274,151,55,69,23,3,1,21,11,10,12,184,68,39,2,0,37,35,29,3,3,142
Aug-10,Cannington District,0,0,0,0,0,15,14,1,20,13,7,58,16,42,60,17,40,3,4,3,1,26,15,11,5,0,5,19,1,18,207,321,237,84,59,575,0,0,0,0,2,573,236,22,214,10,0,10,0,1201,1408,98,5,59,25,8,1,13,13,0,16,127,56,61,5,0,56,30,19,8,3,147
Sep-10,Cannington District,0,0,0,0,0,14,3,11,6,3,3,62,14,48,95,26,65,4,9,7,2,21,14,7,4,0,4,18,2,16,229,373,319,54,68,638,0,0,0,0,2,636,244,34,210,2,0,2,0,1325,1554,129,12,75,31,10,1,12,10,2,20,161,31,28,2,0,26,27,18,8,1,86
Oct-10,Cannington District,1,0,1,0,0,4,2,2,5,5,0,63,17,46,76,23,50,3,5,3,2,25,11,14,3,1,2,42,1,41,224,435,372,63,76,652,0,0,0,0,5,647,298,33,265,12,0,12,0,1473,1697,52,1,36,13,2,0,17,12,5,9,78,43,36,1,0,35,50,31,8,11,129
Nov-10,Cannington District,1,1,0,0,0,14,12,2,14,13,1,83,22,61,110,30,72,8,10,9,1,24,14,10,3,0,3,38,2,36,297,490,419,71,79,653,0,0,0,0,4,649,261,34,227,10,1,9,0,1493,1790,68,2,48,12,6,0,18,14,4,10,96,53,18,3,0,15,53,37,10,6,124
Dec-10,Cannington District,1,0,0,0,1,7,4,3,2,2,0,85,24,61,113,39,67,7,12,10,2,17,10,7,2,0,2,24,1,23,263,366,301,65,78,594,0,0,0,0,9,585,299,44,255,8,1,7,0,1345,1608,73,12,45,15,1,0,24,20,4,10,107,42,175,1,0,174,27,14,7,6,244
Jan-11,Cannington District,1,1,0,0,0,17,14,3,51,21,30,73,23,50,97,34,58,5,9,6,3,19,10,9,5,0,5,38,6,32,310,425,359,66,45,593,0,0,0,0,4,589,246,28,218,6,0,6,0,1315,1625,66,10,34,20,2,0,20,12,8,14,100,50,30,0,0,30,25,11,9,5,105
Feb-11,Cannington District,2,0,0,1,1,18,10,8,1,1,0,72,14,58,65,17,47,1,7,6,1,17,13,4,0,0,0,20,1,19,202,389,331,58,69,577,0,0,0,0,3,574,240,29,211,7,0,7,0,1282,1484,59,4,38,16,1,0,19,11,8,6,84,35,76,5,0,71,40,29,5,6,151
Mar-11,Cannington District,0,0,0,0,0,9,6,3,2,2,0,69,20,49,91,23,67,1,7,5,2,29,19,10,2,0,2,29,1,28,238,370,311,59,89,673,0,0,0,0,4,669,297,44,253,5,2,3,0,1434,1672,69,2,43,16,7,1,95,86,9,27,191,45,76,4,0,72,56,32,21,3,177
Apr-11,Cannington District,1,0,1,0,0,11,4,7,2,1,1,77,16,61,78,21,53,4,10,8,2,10,5,5,7,1,6,33,7,26,229,392,334,58,75,658,0,0,0,0,2,656,237,21,216,5,0,5,0,1367,1596,78,3,51,24,0,0,19,15,4,3,100,37,71,2,0,69,175,158,12,5,283
