Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Nov-09,Goldfields Esperance District,0,0,0,0,0,13,12,1,5,5,0,66,24,42,75,27,34,14,8,8,0,22,12,10,0,0,0,6,1,5,195,92,56,36,9,185,0,0,0,0,2,183,153,24,129,5,0,5,0,444,639,66,3,31,30,2,0,8,6,2,20,94,11,208,0,0,208,19,12,2,5,238
Dec-09,Goldfields Esperance District,0,0,0,0,0,3,3,0,1,1,0,65,31,34,61,16,35,10,4,4,0,10,5,5,1,0,1,3,1,2,148,75,47,28,10,146,0,0,0,0,2,144,126,21,105,4,1,3,0,361,509,69,10,28,20,4,7,10,6,4,10,89,10,3,0,0,3,16,9,1,6,29
Jan-10,Goldfields Esperance District,0,0,0,0,0,10,8,2,4,4,0,55,25,30,94,37,50,7,4,2,2,17,9,8,2,0,2,1,0,1,187,107,74,33,10,134,0,0,0,0,4,130,145,21,124,4,1,3,0,400,587,75,3,24,18,12,18,3,1,2,7,85,8,1,0,0,1,27,17,2,8,36
Feb-10,Goldfields Esperance District,0,0,0,0,0,7,6,1,18,18,0,46,15,31,68,21,36,11,8,5,3,12,6,6,1,0,1,5,1,4,165,80,50,30,15,122,0,0,0,0,5,117,122,17,105,6,1,5,0,345,510,93,10,35,33,6,9,12,9,3,8,113,3,12,0,0,12,22,11,4,7,37
Mar-10,Goldfields Esperance District,1,0,0,0,1,4,4,0,0,0,0,51,17,34,64,14,44,6,2,0,2,20,13,7,1,0,1,1,0,1,144,81,43,38,11,139,0,0,0,0,2,137,110,14,96,1,0,1,0,342,486,76,2,32,22,5,15,4,3,1,15,95,7,30,0,0,30,13,6,3,4,50
Apr-10,Goldfields Esperance District,1,0,0,0,1,4,4,0,5,5,0,30,15,15,41,15,20,6,11,9,2,3,0,3,2,0,2,1,0,1,98,74,39,35,16,131,0,0,0,0,5,126,101,8,93,2,0,2,0,324,422,40,1,20,11,2,6,10,7,3,3,53,14,12,0,0,12,19,10,5,4,45
May-10,Goldfields Esperance District,1,0,0,1,0,4,2,2,4,4,0,36,11,25,54,18,30,6,7,6,1,6,5,1,0,0,0,0,0,0,112,71,42,29,13,112,0,0,0,0,1,111,118,17,101,4,0,4,0,318,430,77,4,37,25,4,7,13,8,5,4,94,8,6,1,0,5,22,14,5,3,36
Jun-10,Goldfields Esperance District,0,0,0,0,0,6,5,1,7,7,0,37,11,26,34,11,21,2,8,5,3,4,4,0,3,0,3,4,0,4,103,71,42,29,12,118,0,0,0,0,1,117,108,10,98,1,0,1,0,310,413,62,2,28,21,0,11,5,5,0,5,72,11,1,0,0,1,30,7,16,7,42
Jul-10,Goldfields Esperance District,0,0,0,0,0,6,6,0,5,5,0,46,13,33,57,16,36,5,9,4,5,3,1,2,0,0,0,0,0,0,126,73,44,29,14,138,0,0,0,0,4,134,94,12,82,1,0,1,0,320,446,66,2,30,28,0,6,5,4,1,12,83,11,1,0,0,1,14,6,3,5,26
Aug-10,Goldfields Esperance District,0,0,0,0,0,6,5,1,4,3,1,47,19,28,39,15,14,10,6,3,3,9,2,7,0,0,0,4,0,4,115,90,58,32,12,131,0,0,0,0,1,130,119,21,98,5,0,5,0,357,472,47,0,22,20,1,4,2,1,1,11,60,13,1,0,0,1,19,10,1,8,33
