Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
May-11,Wheatbelt District,0,0,0,0,0,2,1,1,3,3,0,27,7,20,25,7,16,2,3,2,1,6,5,1,0,0,0,0,0,0,66,53,29,24,2,71,0,0,0,0,1,70,72,10,62,1,0,1,0,199,265,59,4,29,24,2,0,3,2,1,6,68,12,0,0,0,0,18,7,10,1,30
Jun-11,Wheatbelt District,3,0,0,0,3,1,1,0,2,2,0,15,1,14,23,3,19,1,6,5,1,11,4,7,0,0,0,0,0,0,61,36,18,18,6,73,0,0,0,0,0,73,70,13,57,5,0,5,0,190,251,58,3,29,22,4,0,1,0,1,5,64,2,25,0,0,25,8,5,0,3,35
Jul-11,Wheatbelt District,0,0,0,0,0,1,1,0,1,0,1,22,8,14,18,3,13,2,10,9,1,5,3,2,1,0,1,1,1,0,59,41,20,21,3,71,0,0,0,0,0,71,66,13,53,1,0,1,0,182,241,26,4,13,9,0,0,0,0,0,5,31,2,0,0,0,0,8,4,2,2,10
Aug-11,Wheatbelt District,1,0,0,0,1,6,4,2,2,1,1,17,6,11,24,3,19,2,5,5,0,8,6,2,0,0,0,2,0,2,65,57,31,26,9,78,0,0,0,0,1,77,57,6,51,2,0,2,0,203,268,48,1,24,22,1,0,1,0,1,1,50,7,4,0,0,4,12,3,4,5,23
Sep-11,Wheatbelt District,0,0,0,0,0,13,10,3,5,5,0,11,4,7,22,6,14,2,6,2,4,3,2,1,0,0,0,0,0,0,60,43,21,22,4,61,0,0,0,0,1,60,56,14,42,1,0,1,0,165,225,78,7,35,28,8,0,1,1,0,8,87,3,1,0,0,1,8,3,3,2,12
Oct-11,Wheatbelt District,1,0,0,0,1,2,2,0,2,2,0,23,3,20,22,6,15,1,1,1,0,12,10,2,0,0,0,1,1,0,64,49,28,21,9,75,0,0,0,0,0,75,91,18,73,1,1,0,0,225,289,59,6,30,18,5,0,2,2,0,10,71,7,5,0,0,5,9,6,3,0,21
Nov-11,Wheatbelt District,0,0,0,0,0,5,5,0,7,7,0,21,6,15,27,7,20,0,4,3,1,11,7,4,0,0,0,2,0,2,77,51,33,18,8,87,0,0,0,0,0,87,83,18,65,2,0,1,1,231,308,23,0,13,7,2,1,2,2,0,10,35,13,10,0,0,10,6,2,3,1,29
Dec-11,Wheatbelt District,1,0,0,0,1,0,0,0,7,7,0,28,11,17,13,4,9,0,3,2,1,11,9,2,0,0,0,0,0,0,63,47,20,27,8,70,0,0,0,0,1,69,77,16,61,3,1,2,0,205,268,38,2,19,15,2,0,0,0,0,2,40,4,4,0,0,4,10,3,6,1,18
Jan-12,Wheatbelt District,0,0,0,0,0,5,4,1,0,0,0,30,7,23,21,5,14,2,8,6,2,9,5,4,1,0,1,1,0,1,75,55,37,18,6,68,0,0,0,0,0,68,71,9,62,11,7,4,0,211,286,50,2,27,19,2,0,4,3,1,7,61,5,4,0,0,4,8,6,1,1,17
Feb-12,Wheatbelt District,0,0,0,0,0,2,1,1,0,0,0,29,5,24,29,4,19,6,2,2,0,20,10,10,1,0,1,1,0,1,84,42,20,22,9,78,0,0,0,0,0,78,94,16,78,2,0,2,0,225,309,37,0,18,17,2,0,0,0,0,5,42,4,3,0,0,3,6,1,2,3,13
Mar-12,Wheatbelt District,0,0,0,0,0,3,2,1,4,4,0,19,4,15,16,4,11,1,2,2,0,6,3,3,0,0,0,1,1,0,51,46,22,24,5,80,0,0,0,0,1,79,78,15,63,5,3,2,0,214,265,56,3,22,23,7,1,3,3,0,3,62,12,8,1,0,7,5,0,3,2,25
Apr-12,Wheatbelt District,0,0,0,0,0,1,1,0,1,1,0,32,6,26,21,7,13,1,4,4,0,2,2,0,1,0,1,0,0,0,62,50,28,22,5,79,0,0,0,0,0,79,71,16,55,1,0,1,0,206,268,63,7,25,27,4,0,1,1,0,5,69,8,6,0,0,6,7,1,3,3,21
May-12,Wheatbelt District,2,0,0,0,2,2,2,0,3,1,2,40,7,33,35,4,21,10,2,1,1,1,1,0,0,0,0,1,0,1,86,59,28,31,7,86,0,0,0,0,2,84,52,13,39,2,0,2,0,206,292,57,3,27,24,2,1,2,2,0,10,69,9,11,0,0,11,8,4,1,3,28
