Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jul-10,Mirrabooka District,2,0,1,0,1,13,8,5,9,9,0,68,10,58,77,31,41,5,7,5,2,14,7,7,1,0,1,24,4,20,215,255,210,45,52,573,0,0,0,0,1,572,281,23,258,4,0,4,0,1165,1380,205,103,63,31,6,2,28,22,6,14,247,27,44,3,0,41,62,41,15,6,133
Aug-10,Mirrabooka District,0,0,0,0,0,22,7,15,9,9,0,71,11,60,102,34,66,2,2,1,1,16,9,7,0,0,0,18,2,16,240,295,231,64,44,574,0,0,0,0,10,564,267,39,228,15,0,15,0,1195,1435,125,10,64,44,6,1,17,12,5,17,159,30,109,12,0,97,40,25,6,9,179
Sep-10,Mirrabooka District,1,1,0,0,0,12,9,3,8,8,0,64,22,42,89,27,55,7,9,8,1,10,6,4,2,1,1,16,1,15,211,348,274,74,51,650,0,0,0,0,1,649,261,24,237,9,0,9,0,1319,1530,91,8,56,24,3,0,19,15,4,13,123,34,82,3,0,79,43,19,16,8,159
Oct-10,Mirrabooka District,1,1,0,0,0,15,13,2,2,2,0,74,15,59,90,22,62,6,6,5,1,10,6,4,2,0,2,18,3,15,218,347,275,72,65,683,0,0,0,0,2,681,294,40,254,10,1,9,0,1399,1617,86,6,45,29,6,0,26,19,7,15,127,30,74,13,0,61,56,40,14,2,160
Nov-10,Mirrabooka District,0,0,0,0,0,19,12,7,8,8,0,64,14,50,72,19,51,2,9,9,0,20,10,10,1,0,1,10,2,8,203,307,245,62,64,665,0,0,0,0,2,663,293,37,256,3,0,3,0,1332,1535,89,13,54,17,4,1,36,26,10,11,136,42,36,3,0,33,54,35,11,8,132
Dec-10,Mirrabooka District,12,0,11,1,0,17,12,5,7,6,1,87,21,66,81,27,49,5,3,1,2,19,11,8,0,0,0,18,2,16,244,363,292,71,58,608,0,0,0,0,2,606,288,31,257,7,0,7,0,1324,1568,64,3,45,12,4,0,16,9,7,13,93,33,34,0,0,34,54,44,4,6,121
Jan-11,Mirrabooka District,0,0,0,0,0,11,9,2,2,2,0,79,15,64,74,28,39,7,13,8,5,23,18,5,0,0,0,28,5,23,230,411,335,76,80,669,0,0,0,0,8,661,307,36,271,7,0,7,0,1474,1704,80,4,52,20,4,0,21,15,6,3,104,55,39,2,0,37,57,37,8,12,151
Feb-11,Mirrabooka District,1,1,0,0,0,19,16,3,8,8,0,84,15,69,79,27,46,6,6,3,3,18,10,8,1,0,1,11,1,10,227,360,291,69,61,672,0,0,0,0,3,669,266,32,234,11,1,10,0,1370,1597,102,12,47,32,9,2,18,15,3,13,133,38,69,6,0,63,93,69,17,7,200
Mar-11,Mirrabooka District,1,0,0,0,1,19,14,5,1,1,0,56,22,34,101,40,57,4,6,6,0,24,11,13,1,0,1,16,1,15,225,335,261,74,81,783,0,0,0,0,2,781,337,42,295,4,0,3,1,1540,1765,110,11,54,31,13,1,20,13,7,21,151,33,81,6,0,75,61,50,9,2,175
Apr-11,Mirrabooka District,2,1,0,0,1,20,17,3,2,2,0,54,20,34,70,24,42,4,5,3,2,22,10,12,2,0,2,29,4,25,206,401,325,76,80,775,0,0,0,0,2,773,282,33,249,11,0,11,0,1549,1755,117,8,61,37,9,2,17,14,3,10,144,28,108,1,0,107,31,22,2,7,167
